V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,5,41,2,,C,1,,REAR-END,,,,SEDAN
W,GOING STRAIGHT,0,APPARENTLY NORMAL,MECHANICAL DEFECTS: ROAD DEFECT,APPARENTLY NORMAL,W,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,VAN
W,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,W,STOPPED,0,0,3,,,0,PDO,REAR-END,,,,PICKUP
S,LEAVING PARK POSITION,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,INATTENTION/DISTRACTED,FOLLOWED TOO CLOSELY: HIT AND RUN,APPARENTLY NORMAL,N,STOPPED,1,22,3,,C,2,,REAR-END,,,,CARRY-ALL
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,1,INATTENTION/DISTRACTED,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,1,18,3,,,0,PDO,REAR-END,,,,CONVERTIBLE
N,GOING STRAIGHT,0,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: HIT AND RUN",APPARENTLY NORMAL,E,GOING STRAIGHT,0,43,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 4 DOOR"
N,TURNING RIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,TURNING RIGHT,0,61,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,23,3,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,OTHER IMPROPER DRIVING,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,GOING STRAIGHT,1,21,2,,C,3,,REAR-END,,,,SEDAN
E,STOPPED,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,GOING STRAIGHT,2,18,2,,C,1,,REAR-END,,,,CARRY-ALL
